order_id,order_date,customer_id,customer_segment,sales_channel,region,product_id,category,product_name,unit_price,quantity,discount_pct,revenue,inventory_on_hand,reorder_level,inventory_status,month,first_purchase_date,customer_tenure_days,is_repeat_customer,avg_unit_revenue
O50000,2025-03-08,C10394,Repeat,Organic Search,West,P1000,Tops,Classic Tee,78.0,1,0.2,62.4,244.0,49,Healthy,2025-03,2025-03-08,0,False,62.4
O50001,2025-05-15,C10326,Repeat,Email Campaign,Northeast,P1001,Tops,Air Tunic,62.0,1,0.2,49.6,163.0,72,Healthy,2025-05,2025-04-30,15,True,49.6
O50002,2025-08-15,C10082,Repeat,Mobile App,Northeast,P1008,Outerwear,Transit Coat,218.0,1,0.0,218.0,414.0,47,Healthy,2025-08,2025-06-15,61,True,218.0
O50003,2025-12-28,C10282,New,Paid Social,West,P1002,Tops,Everyday Shirt,71.0,1,0.05,67.45,238.0,67,Healthy,2025-12,2025-02-08,323,True,67.45
O50003,2025-12-28,C10282,New,Paid Social,West,P1000,Tops,Classic Tee,78.0,1,0.1,70.2,243.0,49,Healthy,2025-12,2025-02-08,323,True,70.2
O50004,2025-10-15,C10218,Repeat,Organic Search,West,P1003,Bottoms,Tailored Pant,89.0,3,0.15,226.95,396.0,61,Healthy,2025-10,2025-09-21,24,True,75.65
O50005,2025-02-27,C10004,New,Web,South,P1006,Outerwear,Commuter Blazer,150.0,1,0.0,150.0,428.0,51,Healthy,2025-02,2025-02-25,2,True,150.0
O50005,2025-02-27,C10004,New,Web,South,P1001,Tops,Air Tunic,62.0,1,0.1,55.8,162.0,72,Healthy,2025-02,2025-02-25,2,True,55.8
O50006,2025-12-20,C10038,Repeat,Mobile App,Northeast,P1005,Bottoms,Weekend Skirt,109.0,2,0.1,196.2,290.0,41,Healthy,2025-12,2025-04-01,263,True,98.1
O50006,2025-12-20,C10038,Repeat,Mobile App,Northeast,P1001,Tops,Air Tunic,62.0,3,0.05,176.7,159.0,72,Healthy,2025-12,2025-04-01,263,True,58.9
O50007,2025-10-07,C10076,Repeat,Web,South,P1014,Loungewear,Cozy Hoodie,117.0,2,0.15,198.9,146.0,49,Healthy,2025-10,2025-03-26,195,True,99.45
O50008,2025-07-09,C10018,Repeat,Mobile App,South,P1014,Loungewear,Cozy Hoodie,117.0,1,0.0,117.0,145.0,49,Healthy,2025-07,2025-03-06,125,True,117.0
