Order ID,Order Date,Customer ID,Customer Segment,Sales Channel,Region,Product ID,Category,Product Name,Unit Price,Quantity,Discount Pct,Revenue,Inventory On Hand,Reorder Level
O50000,2025-03-08,C10394,Repeat,Organic Search,West,P1000,Tops,Classic Tee,78.0,1,0.2,62.4,244.0,49
O50001,2025-05-15,C10326,Repeat,Email Campaign,Northeast,P1001,Tops,Air Tunic,62.0,1,0.2,49.6,163.0,72
O50002,2025-08-15,C10082,Repeat,Mobile App,Northeast,P1008,Outerwear,Transit Coat,218.0,1,0.0,218.0,414.0,47
O50003,2025-12-28,C10282,New,Paid Social,West,P1002,Tops,Everyday Shirt,71.0,1,0.05,67.45,238.0,67
O50003,2025-12-28,C10282,New,Paid Social,West,P1000,Tops,Classic Tee,78.0,1,0.1,70.2,243.0,49
O50004,2025-10-15,C10218,Repeat,Organic Search,West,P1003,Bottoms,Tailored Pant,89.0,3,0.15,226.95,396.0,61
O50005,2025-02-27,C10004,New,Web,South,P1006,Outerwear,Commuter Blazer,150.0,1,0.0,150.0,428.0,51
O50005,2025-02-27,C10004,New,Web,South,P1001,Tops,Air Tunic,62.0,1,0.1,55.8,162.0,72
O50006,2025-12-20,C10038,Repeat,Mobile App,Northeast,P1005,Bottoms,Weekend Skirt,109.0,2,0.1,196.2,290.0,41
O50006,2025-12-20,C10038,Repeat,Mobile App,Northeast,P1001,Tops,Air Tunic,62.0,3,0.05,176.7,159.0,72
O50007,2025-10-07,C10076,Repeat,Web,South,P1014,Loungewear,Cozy Hoodie,117.0,2,0.15,198.9,146.0,49
O50008,2025-07-09,C10018,Repeat,Mobile App,South,P1014,Loungewear,Cozy Hoodie,117.0,1,0.0,117.0,145.0,49
O50009,2025-10-10,C10298,Repeat,Web,Midwest,P1010,Dresses,Shift Dress,142.0,1,0.1,127.8,,75
O50010,2025-08-09,C10075,Repeat,Email Campaign,Midwest,P1012,Loungewear,Soft Set,78.0,1,0.1,70.2,392.0,81
O50011,2025-01-22,C10065,New,Mobile App,West,P1012,Loungewear,Soft Set,84.24,4,0.2,269.57,388.0,81
O50012,2025-07-06,C10157,Repeat,Organic Search,Northeast,P1004,Bottoms,Easy Trouser,116.0,2,0.0,232.0,199.0,79
O50013,2025-01-21,C10407,New,Email Campaign,Northeast,P1013,Loungewear,Relaxed Jogger,91.8,2,0.1,165.24,445.0,79
O50014,2025-04-18,C10183,Repeat,Web,South,P1013,Loungewear,Relaxed Jogger,85.0,1,0.0,85.0,444.0,79
O50014,2025-04-18,C10183,Repeat,Web,South,P1009,Dresses,Wrap Dress,179.2,2,0.0,358.4,266.0,40
O50014,2025-04-18,C10183,Repeat,Web,South,P1011,Dresses,Travel Dress,157.92,3,0.2,379.01,224.0,77
O50015,2025-05-08,C10349,VIP,Mobile App,Northeast,P1008,Outerwear,Transit Coat,218.0,1,0.15,185.3,413.0,47
O50015,2025-05-08,C10349,VIP,Mobile App,Northeast,P1005,Bottoms,Weekend Skirt,109.0,3,0.0,327.0,287.0,41
O50015,2025-05-08,C10349,VIP,Mobile App,Northeast,P1001,Tops,Air Tunic,62.0,1,0.1,55.8,158.0,72
O50016,2025-02-22,C10341,New,Web,South,P1012,Loungewear,Soft Set,84.24,1,0.05,80.03,387.0,81
O50017,2025-10-14,C10181,VIP,Email Campaign,West,P1004,Bottoms,Easy Trouser,116.0,1,0.1,104.4,198.0,79
O50017,2025-10-14,C10181,VIP,Email Campaign,West,P1003,Bottoms,Tailored Pant,89.0,1,0.1,80.1,395.0,61
O50018,2025-11-14,C10208,Repeat,Mobile App,West,P1000,Tops,Classic Tee,78.0,1,0.0,78.0,242.0,49
O50019,2025-03-21,C10383,New,Paid Social,South,P1007,Outerwear,Layer Jacket,196.0,2,0.05,372.4,311.0,40
O50020,2025-03-25,C10121,New,Mobile App,West,P1014,Loungewear,Cozy Hoodie,117.0,1,0.05,111.15,144.0,49
O50021,2025-04-01,C10409,New,Mobile App,South,P1006,Outerwear,Commuter Blazer,150.0,1,0.05,142.5,427.0,51
O50022,2025-01-13,C10211,Repeat,Mobile App,South,P1005,Bottoms,Weekend Skirt,109.0,1,0.0,109.0,286.0,41
O50022,2025-01-13,C10211,Repeat,MOBILE APP,South,P1006,Outerwear,Commuter Blazer,150.0,1,0.1,135.0,426.0,51
O50023,2025-06-20,C10091,Repeat,Web,West,P1007,Outerwear,Layer Jacket,196.0,4,0.05,744.8,307.0,40
O50024,2025-07-30,C10400,Repeat,Mobile App,Midwest,P1010,Dresses,Shift Dress,159.04,3,0.05,453.26,348.0,75
O50024,2025-07-30,C10400,Repeat,Mobile App,Midwest,P1013,Loungewear,Relaxed Jogger,85.0,2,0.0,170.0,442.0,79
O50025,2025-12-09,C10410,VIP,Mobile App,Northeast,P1001,Tops,Air Tunic,62.0,2,0.1,111.6,156.0,72
O50025,2025-12-09,C10410,VIP,Mobile App,Northeast,P1007,Outerwear,Layer Jacket,227.36,2,0.0,454.72,305.0,40
O50025,2025-12-09,C10410,VIP,Mobile App,Northeast,P1012,Loungewear,Soft Set,84.24,1,0.0,84.24,386.0,81
O50026,2025-05-08,C10376,Repeat,Mobile App,West,P1002,Tops,Everyday Shirt,71.0,2,0.0,142.0,236.0,67
O50027,2025-03-23,C10136,New,Organic Search,South,P1011,Dresses,Travel Dress,141.0,1,0.15,119.85,223.0,77
O50028,2025-12-26,C10403,Repeat,Mobile App,Northeast,P1001,Tops,Air Tunic,62.0,3,0.0,186.0,153.0,72
O50029,2025-07-15,C10055,VIP,Web,West,P1011,Dresses,Travel Dress,157.92,2,0.05,300.05,221.0,77
O50030,2025-08-29,C10019,Repeat,Email Campaign,West,P1000,Tops,Classic Tee,78.0,2,0.2,124.8,240.0,49
O50031,2025-04-13,C10113,VIP,Email Campaign,Midwest,P1010,Dresses,Shift Dress,159.04,1,0.1,143.14,347.0,75
O50032,2025-08-24,C10418,VIP,Mobile App,West,P1003,Bottoms,Tailored Pant,89.0,2,0.05,169.1,393.0,61
O50033,2025-06-06,C10179,New,Organic Search,Midwest,P1005,Bottoms,Weekend Skirt,109.0,2,0.0,218.0,284.0,41
O50033,2025-06-06,C10179,New,Organic Search,Midwest,P1007,Outerwear,Layer Jacket,196.0,1,0.0,196.0,304.0,40
O50034,2025-04-27,C10407,Repeat,Mobile App,,P1002,Tops,Everyday Shirt,71.0,1,0.0,71.0,235.0,67
O50035,2025-01-13,C10114,New,Web,,P1004,Bottoms,Easy Trouser,116.0,2,0.05,220.4,196.0,79
O50036,2025-04-09,C10337,VIP,Paid Social,Northeast,P1012,Loungewear,Soft Set,78.0,3,,222.3,383.0,81
O50037,2025-06-18,C10204,VIP,Email Campaign,South,P1002,Tops,Everyday Shirt,71.0,1,0.1,$63.90,234.0,67
O50037,2025-06-18,C10204,VIP,Email Campaign,South,P1006,Outerwear,Commuter Blazer,150.0,2,0.1,$270.00,424.0,51
O50038,2025-02-05,C10142,Repeat,Organic Search,Northeast,P1009,Dresses,Wrap Dress,160.0,1,0.0,160.0,265.0,40
